Family                                    ,Page                                 ,Name                                             ,Threat   ,Method   ,Fragments,Returned                                                          ,Description
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office II   ,Pile of Runestones                               ,Emergency,Task     ,1        ,"SOS Task Force, Ministry of Magic"                               ,"Collected by members of the Statute of Secrecy Task Force, these Runestones are being studied for their connection to Calamity-created Fortresses."
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office II   ,Calamity Incident Map                            ,Emergency,Portkey  ,5        ,"SOS Task Force, Ministry of Magic"                               ,"This enchanted map tracks all known Calamity activity across the globe. Updated in real time with reports from Task Force members, the map enabled the Ministry to actively monitor the Calamity situation."
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,Brilliant Hedwig                                 ,Medium   ,         ,10       ,"Gryffindor Dormitory, Hogwarts School of Witchcraft and Wizardry","A beautiful snowy owl, Hedwig was often admired by Harry Potter's classmates for her bright white plumage. While lovely, her unique appearancemade her easy to identify, preventing Harry from using her to deliver messages when secrecy was essential."
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,Brilliant Quidditch Captain Harry                ,High     ,         ,12       ,"Gryffindor Dormitory, Hogwarts School of Witchcraft and Wizardry","As captain for Gryffindor, Harry Potter led his team to win the Quidditch Cup. In part due to their success on the pitch, Gryffindor would also go on to win the House Cup that year."
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,Harry's School Trunk                             ,Emergency,         ,3        ,"Gryffindor Dormitory, Hogwarts School of Witchcraft and Wizardry","During his years as a student, Harry Potter used this trunk to carry his belongings to and from Hogwarts School of Witchcraft and Wizardry. It contains an assortment of items, from necessities like robes and spell books to rubbish like broken quills and desiccated beetle eyes."
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,Harry's Weasley Jumper                           ,Blank    ,         ,3        ,"Gryffindor Dormitory, Hogwarts School of Witchcraft and Wizardry","This cosy woolen jumper, knit by Molly Weasley, was given as a Christmas gift to Harry Potter during his first year at Hogwarts. Harry, who was unaccustomed to receiving gifts, was touched to be included in a Weasley family tradition."
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,                                                 ,         ,         ,1        ,                                                                  ,
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,                                                 ,         ,         ,1        ,                                                                  ,
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,Hogwarts Heroes Daily Prophet                    ,Blank    ,         ,3        ,"Department of Magical Law Enforcement, British Ministry of Magic","The Daily Prophet, a newspaper serving the British wizarding community, has been dutifully keeping its readers informed of the latest news, theories, and Ministry missteps in the ongoing Calamity crisis."
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,                                                 ,         ,         ,12       ,                                                                  ,
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,                                                 ,         ,         ,1        ,                                                                  ,
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,                                                 ,         ,         ,3        ,                                                                  ,
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,                                                 ,         ,         ,1        ,                                                                  ,
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,                                                 ,         ,         ,1        ,                                                                  ,
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,Brilliant Mad-Eye Moody                          ,High     ,         ,10       ,"The Atrium, British Ministry of Magic"                           ,"As an Auror, Alastor ""Mad-Eye"" Moody apprehended some of the wizarding world's most dangerous criminals, often at great personal risk. Even in retirement, he suffered kidnapping, imprisonment, and impersonation -- ultimately losing his life in a battle against Death Eaters and Voldemort himself."
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,Brilliant Nymphadora Tonks                       ,High     ,         ,10       ,"The Atrium, British Ministry of Magic"                           ,"Before she became an Auror, Nymphadora Tonks used her appearance-shifting Metamorphmagus abilities to cause mischief as a Hufflepuff student at Hogwarts School of Witchcraft and Wizardry."
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,                                                 ,         ,         ,3        ,                                                                  ,
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,                                                 ,         ,         ,1        ,                                                                  ,
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,                                                 ,         ,         ,1        ,                                                                  ,
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,                                                 ,         ,         ,5        ,                                                                  ,
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,Brilliant Arthur Weasley                         ,Medium   ,         ,10       ,"The Lift, British Ministry of Magic"                             ,"Arthur Weasley's fascination with Muggle technology served him well as an employee of the Misuse of Muggle Artefacts Office, eventually leading to his appointment as Head of Department. During the Second Wizarding War, he also served a brief stint as the head of the Office for the Detection and Confiscation of Conterfeit Defensive Spells and Protective Objects."
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,Daily Prophet                                    ,Emergency,         ,5        ,"The Lift, British Ministry of Magic"                             ,"In the weeks following the Calamity, the Daily Prophet kept its frightened and fascinated readers informed of the latest developemts and theories coming from the Ministry. It was a vital source of information and played an important role in recruiting members for the Statute of Secrecy Task Force."
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,                                                 ,         ,         ,3        ,                                                                  ,
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,                                                 ,         ,         ,1        ,                                                                  ,
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,                                                 ,         ,         ,1        ,                                                                  ,
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,                                                 ,         ,         ,3        ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Ron's Comic Book                                 ,         ,Task     ,1        ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Young Ron Weasley                                ,         ,Encounter,15       ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Decoy Detonators                                 ,         ,Encounter,15       ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Pigwidgeon                                       ,         ,Fortress ,3        ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Weasley is our King Banner                       ,         ,Task     ,1        ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Wizard Chess Set                                 ,         ,Portkey  ,5        ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,Young Ginny Weasley                              ,         ,Encounter,15       ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,Errol                                            ,         ,Fortress ,3        ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,De-gnoming Gloves                                ,         ,Task     ,1        ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,The Burrow Sign                                  ,         ,Portkey  ,5        ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,Arthur Weasley's Shed                            ,         ,Task     ,1        ,                                                                  ,
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,Flying Weasley Car                               ,         ,Encounter,15       ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,Nimbus 2000                                      ,         ,Encounter,15       ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,Nearly Headless Nick                             ,         ,Portkey  ,5        ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,James Potter Plaque                              ,         ,Task     ,1        ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,Inter-House Quidditch Cup                        ,         ,Fortress ,3        ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,Trophy Case                                      ,         ,Task     ,1        ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,Angelina Johnson                                 ,         ,Encounter,15       ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Slytherin Chaser                                 ,         ,Task     ,1        ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Quidditch Fan Luna Lovegood                      ,         ,Encounter,15       ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Bludger                                          ,         ,Encounter,15       ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Quidditch Score-Keeper                           ,         ,Portkey  ,5        ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Quidditch Fan Professor McGonagall               ,         ,Fortress ,3        ,                                                                  ,
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Gryffindor Beater                                ,         ,Task     ,1        ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Firedrakes                                       ,         ,Task     ,1        ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Clown                                            ,         ,Task     ,1        ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Candy Floss Stand                                ,         ,Fortress ,3        ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Oni Poster                                       ,         ,Portkey  ,5        ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Nagini                                           ,         ,Encounter,15       ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Kappa                                            ,         ,Encounter,15       ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Graphorn                                         ,         ,Encounter,15       ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Zouwu                                            ,         ,Encounter,15       ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Skender                                          ,         ,Portkey  ,5        ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Fire-Breather                                    ,         ,Task     ,1        ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Oni                                              ,         ,Task     ,1        ,                                                                  ,
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Circus Arcanus House Elf                         ,         ,Fortress ,3        ,                                                                  ,
