Family                                    ,Page                                 ,Name                                   ,Method   ,Fragments
Brilliant Event: Fighting Forces          ,Brilliant 12 Grimmauld Place         ,                                       ,         ,1
Brilliant Event: Fighting Forces          ,Brilliant 12 Grimmauld Place         ,                                       ,         ,1
Brilliant Event: Fighting Forces          ,Brilliant 12 Grimmauld Place         ,                                       ,         ,5
Brilliant Event: Fighting Forces          ,Brilliant Malfoy Manor               ,                                       ,         ,10
Brilliant Event: Fighting Forces          ,Brilliant Malfoy Manor               ,                                       ,         ,1
Brilliant Event: Fighting Forces          ,Brilliant Malfoy Manor               ,                                       ,         ,1
Brilliant Event: Fighting Forces          ,Brilliant Malfoy Manor               ,                                       ,         ,5
Brilliant Event: Fighting Forces          ,Brilliant Malfoy Manor               ,                                       ,         ,10
Brilliant Event: Fighting Forces          ,Brilliant Malfoy Manor               ,                                       ,         ,3
Brilliant Event: Lost Love                ,Brilliant Headmistress' Office       ,Minerva McGonagall                     ,Encounter,15
Brilliant Event: Lost Love                ,Brilliant Headmistress' Office       ,Self-Playing Harp                      ,Encounter,15
Brilliant Event: Lost Love                ,Brilliant Headmistress' Office       ,Photograph of Dougal McGregor          ,Fortress ,3
Brilliant Event: Lost Love                ,Brilliant Headmistress' Office       ,Order of Merlin                        ,Portkey  ,5
Brilliant Event: Lost Love                ,Brilliant Headmistress' Office       ,Hogwarts Crest                         ,Task     ,1
Brilliant Event: Lost Love                ,Brilliant Headmistress' Office       ,Hornbill                               ,Task     ,1
Brilliant Event: Lost Love                ,Brilliant Snape's Office             ,Vase of Lillies                        ,Portkey  ,5
Brilliant Event: Lost Love                ,Brilliant Snape's Office             ,Snape's Cauldron                       ,Task     ,1
Brilliant Event: Lost Love                ,Brilliant Snape's Office             ,Infusion of Wormwood                   ,Task     ,1
Brilliant Event: Lost Love                ,Brilliant Snape's Office             ,Photograph of Lily and Severus         ,Fortress ,3
Brilliant Event: Lost Love                ,Brilliant Snape's Office             ,Severus Snape                          ,Encounter,15
Brilliant Event: Lost Love                ,Brilliant Snape's Office             ,Mirror of Erised                       ,Encounter,15
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office I    ,Auror Harry Potter                     ,Encounter,15
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office I    ,Proprietor Ron Weasley                 ,Encounter,15
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office I    ,Activated Dark Detector                ,Task     ,1
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office I    ,Opened Portkey Portmanteau             ,Portkey  ,3
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office I    ,Ministry of Magic Landmark             ,Fortress ,5
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office I    ,Crate of Potions                       ,Task     ,1
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office II   ,Minister for Magic Kingsley Shacklebolt,Encounter,15
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office II   ,Senior Minister Hermione Granger       ,Encounter,15
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office II   ,Jr. Undersecretary Constance Pickering ,Fortress ,3
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office II   ,Registry Research Board                ,Task     ,1
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office II   ,Pile of Runestones                     ,Task     ,1
Brilliant Event: One Year Later           ,Brilliant SOS Task Force Office II   ,Calamity Incident Map                  ,Portkey  ,5
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,Hedwig                                 ,         ,10
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,Quidditch Captain Harry                ,         ,12
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,Harry's School Trunk                   ,         ,3
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,Harry's Weasley Jumper                 ,         ,3
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,                                       ,         ,1
Brilliant Event: Potter's Calamity        ,Brilliant Gryffindor Dormitory       ,                                       ,         ,1
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,Hogwarts Heroes Daily Prophet          ,         ,3
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,                                       ,         ,12
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,                                       ,         ,1
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,                                       ,         ,3
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,                                       ,         ,1
Brilliant Event: Potter's Calamity        ,Brilliant Harry's Desk               ,                                       ,         ,1
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,Mad-Eye Moody                          ,         ,10
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,Nymphadora Tonks                       ,         ,10
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,                                       ,         ,3
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,                                       ,         ,1
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,                                       ,         ,1
Brilliant Event: Stronger United          ,Brilliant Ministry Atrium            ,                                       ,         ,5
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,Arthur Weasley                         ,         ,10
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,Daily Prophet                          ,         ,5
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,                                       ,         ,3
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,                                       ,         ,1
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,                                       ,         ,1
Brilliant Event: Stronger United          ,Brilliant Ministry Lift              ,                                       ,         ,3
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Ron's Comic Book                       ,Task     ,1
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Young Ron Weasley                      ,Encounter,15
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Decoy Detonators                       ,Encounter,15
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Pigwidgeon                             ,Fortress ,3
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Weasley is our King Banner             ,Task     ,1
Brilliant Event: The Burrow Besieged      ,Brilliant Ron Weasley's Bedroom      ,Wizard Chess Set                       ,Portkey  ,5
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,Young Ginny Weasley                    ,Encounter,15
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,Errol                                  ,Fortress ,3
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,De-gnoming Gloves                      ,Task     ,1
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,The Burrow Sign                        ,Portkey  ,5
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,Arthur Weasley's Shed                  ,Task     ,1
Brilliant Event: The Burrow Besieged      ,Brilliant The Burrow Grounds         ,Flying Weasley Car                     ,Encounter,15
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,Nimbus 2000                            ,Encounter,15
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,Nearly Headless Nick                   ,Portkey  ,5
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,James Potter Plaque                    ,Task     ,1
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,Inter-House Quidditch Cup              ,Fortress ,3
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,Trophy Case                            ,Task     ,1
Brilliant Event: The Quidditch Cup        ,Brilliant Hogwarts Trophy Room       ,Angelina Johnson                       ,Encounter,15
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Slytherin Chaser                       ,Task     ,1
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Quidditch Fan Luna Lovegood            ,Encounter,15
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Bludger                                ,Encounter,15
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Quidditch Score-Keeper                 ,Portkey  ,5
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Quidditch Fan Professor McGonagall     ,Fortress ,3
Brilliant Event: The Quidditch Cup        ,Brilliant Quidditch Announcer's Booth,Gryffindor Beater                      ,Task     ,1
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Firedrakes                             ,Task     ,1
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Clown                                  ,Task     ,1
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Candy Floss Stand                      ,Fortress ,3
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Oni Poster                             ,Portkey  ,5
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Nagini                                 ,Encounter,15
Circus Calamitous                         ,Brilliant Circus Arcanus Backstage   ,Kappa                                  ,Encounter,15
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Graphorn                               ,Encounter,15
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Zouwu                                  ,Encounter,15
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Skender                                ,Portkey  ,5
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Fire-Breather                          ,Task     ,1
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Oni                                    ,Task     ,1
Circus Calamitous                         ,Brilliant Circus Arcanus Tent        ,Circus Arcanus House Elf               ,Fortress ,3
